Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Zeravshan Gold Company,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Tajikistan,Zeravshan Gold Company,Gbl Infrastructure & Natural Resources,1996-02-05T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameTajikistan-Zeravshan Gold ProjectRegionCentral Asia, Middle East and North AfricaSectorProject No007192Projected Board DateMarch 7, 1996Company NameZeravshan Gold Company (ZGC)Technical Partner and/or Major Shareholders	Nelson Gold Corporation (49%) with management control of ZGC	Government of Tajikistan (51%)Project Cost Including proposed IFC investment	US$110 million.  The proposed IFC investment is for up to US$7.5 million in equity and shareholder loans as an initial investment in Phase I of the development.  Location of project and Description of site	The site is located within the Zeravshan Valley in the Leninabad Region of northwestern Tajikistan, approximately 25 km from Penjikent by road.  The Zeravshan Valley is flanked by the Turkestan mountain range to the north and the Zeravshan range to the south.Description of Company and Purpose of Project	IFC has been requested by the Government of Tajikistan and Nelson Gold Corporation to participate as a 5% partner in the Zeravshan Gold Company joint venture. The objective of the joint venture is to rehabilitate and expand ZGCs existing gold mining operations and to conduct further exploration in the region.  This project comprises Phase I of the development which consists of modification of the existing open pit mine and processing facility to produce approximately 60,000 ounces of gold per year.  Completion of a feasibility study for the second phase is also part of this project.  Phase II would comprise expansion of the existing open pit mine and a heap leach operation to increase production to 160,000 ounces of gold per year for a minimum of eight years.  Following completion of the feasibility study, Phase II would be evaluated as a separate project.Environmental Category and Issues	This is a category B project according to IFCs environmental review procedure.  Environmental issues associated with this project include tailings treatment and disposal, waste water treatment, potential modification to land use, the handling of toxic and hazardous materials, and socio-economic benefits.  The project includes a cyanide detoxification plant and modification of the existing tailings facility in accordance with the engineering design criteria required by the State of Nevada (USA) for a retrofitted facility.  The project sponsor is preparing an environmental assessment as part of the feasibility study for Phase II which would be a category A project.The  is  February 7, 1995 from the Public Information Center.Host country location of environmental documentsMinistry of Environment, DushanbeDate SPI sent to PIC February 5, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",7.50 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan6.30Equity1.20* These investment figures are indicative,"","","","","","",7192,"",BE - Gold,"","","",""
DANUBE FUND,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Romania,Danube Fund Limited,Disruptive Technologies and Funds,1996-02-06T05:00:00Z,"",FI,Equity,"Summary Of Project Information (SPI)Project NameRomania-The Danube FundRegionEuropeSectorProject No007168Projected Board DateMarch 14, 1996Company NameThe Danube FundTechnical Partner and/or Major Shareholders	The Fund is sponsored by the Alpha Credit Bank group, the largest private banking group in Greece.  Alpha Credit Bank and its affiliates have committed to provide 15% of the Funds total capital.  Other investors will include BNP, EBRD, various Greek industrial concerns and several international institutional investors.Project Cost Including proposed IFC investment	Total Fund size will be US$25 million, of which IFC will invest US$1 million.Location of project and Description of site	The Funds principal investment activities will take place in Bucharest, Romania.    Description of Company and Purpose of Project	The Danube Fund will make equity and quasi-equity investments in small and medium-scale private enterprises in Romania.  In particular, the Fund will seek opportunities to invest alongside Greek industrial companies which are establishing joint ventures in Romania.  As a result, the Fund Manager will spend significant amount of time in Athens, Greece, to solicit capital from Greek companies interested in investing in Romania. The Fund is expected to contribute to the development of Romanias private sector and to the countrys transition to a market economy.Environmental Category and Issues	This is an environmental category FI project.  The Danube Fund will be required to undertake an environmental review of eligible investee companies operations.  In addition, IFC will assess the Danube Funds capability to carry out environmental reviews of each investee company.Date SPI sent to PIC February 6, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365","","","","","","","","","","","","","",2.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoanEquity2.0* These investment figures are indicative,"","","","","","",7168,"",BA - Private Equity/Venture Cap Fund - Country,"","","",""
Sucrerie Bourbon - Tay Ninh,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,East Asia and the Pacific,Vietnam,Sucrerie de Bourbon - Tay Ninh Limited,Regional Industry - MAS Asia & Pac,1996-02-07T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameViet Nam-Sucrerie Bourbon - Tây NinhRegionAsiaSectorProject No004810Projected Board DateFebruary 28, 1996Company NameSucrerie Bourbon - Tây Ninh (SBT), Ltd.Technical Partner and/or Major Shareholders	The main sponsor is Groupe des Societes de Bourbon (GSB), a family owned company based in Réunion, a French island in the Indian Ocean. GSB started operations in 1948 with a sugar refinery, among the first in Réunion. The project is co-sponsored by two Vietnamese companies: Vinasugar, a State-owned enterprise, whose mandate is the development of the sugar industry in Southern Viet Nam, and Tanisugar, a province-owned enterprise in Tây Ninh whose main operation is the production and trade of sugar. GSB would own 70% of the voting shares and the two Vietnamese companies 15% each.Project Cost Including proposed IFC investment	Total project cost is estimated at US$95 million. IFC is considering a US$42.0 million investment in SBT, of which US$22.0 million for IFCs own account (the IFC A Loan) and US$20.0 million for participants accounts (the IFC B Loan). Location of project and Description of site	The proposed sugar mill is to be built on a 32 ha site located about 25 km north of the city of Tây Ninh. The land will be excised from the Tan Hung state farm which is presently producing sugar cane and manioc. The topography of the area is flat with a slight, less than 1%, slope to the south west. Preliminary soil tests show this to be a relatively homogeneous site with an adequate load bearing capacity of 12 tons per square meter; some piling will be required for more massive structures but this is not expected to exceed 20 meters.	The site is 6 km from the main provincial road to Tây Ninh and the access road will be upgraded to an all-weather standard. In addition the provincial government has agreed to construct a new north-south district road to improve access to the site for cane transport. Sugar will be evacuated to Ho Chi Minh City by way of the Vàm Cò Dong River using barges. This route will also be used to import the larger items of machinery. Project plans call for the construction of a jetty and 1,000 m2 warehouse on a site which has been acquired some 15 km south east of Tây Ninh.Description of Company and Purpose of Project	The Company will construct a sugar refinery to produce 100,000 tpy of sugar to international quality standards and meet anticipated growth in demand in the country. Currently, Viet Nam imports over 20% of its sugar requirements of about 500,000 tpy, from Thailand and China. Sugar consumption in Viet Nam is constrained by product availability.	The economic fundamentals of the refining operation favor local production of sugar over importation of the finished product and the Government has a policy of supporting and enhancing the viability of the sugar industry which will make the country self sufficient in sugar. Under its Master Plan Study, the Government has estimated that sugar production will have to increase to 1 million tons per year by the year 2000 in order to meet domestic requirements. The introduction of modern sugar production technology is therefore a key element in the Governments strategy to increase sugar production in Viet Nam. The area currently planted with sugar cane in Viet Nam would allow increasing sugar production from 325,000 tpy to 655,000 tpy, thus moving towards the Governments goal of reaching 1 million tpy of sugar by 2000. Project completion is estimated for December 1997. The project would operate during the sugarcane harvest season which lasts about five months (December-April) in Tây Ninh province. During this period, waste and residue will be used to fuel a power plant with a capacity of 24 MW, to be used by Sucrerie Bourbon - Tây Ninh (SBT).Environmental Category and Issues	This is a category B project according to IFCs environmental review procedure. Environmental, health and safety issues include site location, air emissions, liquid effluent, and solid waste management. Occupational health and safety issues include fire safety and emergency response, and general employee health and safety. The facilitys site is now part of  a state-owned farm. It is about 4.5 km from the nearest village and there are no concentrations of people residing in the immediate vicinity. People living on the state farm are expected to produce sugar cane for SBT because it would be the most profitable activity. However, should they prefer different activities, they would be free to do so. The factory design incorporates the latest state of the art wet scrubbing of flue gases to eliminate particulate emissions which are the most objectionable feature of older sugar mill chimneys. Liquid effluent will receive primary and secondary treatment and will comply with local requirements and World Bank guidelines. Solid wastes from the process will be used to generate electricity. The facility will use fire protection codes, work instructions and employee training programs. IFC will ensure ongoing compliance with World Bank guidelines during the life of the project by evaluating monitoring reports submitted annually to IFC by SBT and by conducting periodic supervision.The  is available from the Public Information Center.Date SPI sent to PIC February 7, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",22.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan22.0Equity* These investment figures are indicative,"","","","","","",4810,"",AB - Sugar and Confectionery,"","","",""
Kocbank A.S. and Koc Finans Kiralama A.S.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Türkiye,KOCBANK A S,Regional Industry FIG MCT,1996-02-09T05:00:00Z,"",FI,Loan,"Summary Of Project Information (SPI)Project NameTurkey-KOCBANK Credit line and U.S. Commercial Paper ProgramRegionEuropeSectorProject No004691Projected Board DateApril 15, 1996Company NameKOCBANKTechnical Partner and/or Major Shareholders	Koc Group, a leading Turkish group.Project Cost Including proposed IFC investment	US$85 million, of which US$25 million will be for IFCs own account and US$60 million will comprise the proceeds of a credit supported U.S. commercial paper (USCP) program.Location of project and Description of site	Istanbul, TurkeyDescription of Company and Purpose of Project	KOCBANK is a well-capitalized, medium-sized, commercial bank, wholly owned by the Koc Group.  As of September 30, 1995, the bank had total assets of US$785 million equivalent and shareholders equity of US$133 million equivalent.  The proceeds of the proposed financing package will be on-lent by the bank, to Turkish private sector companies, for pre-export finance and investment purposes.Environmental Category and Issues	This is an environmental review category FI project.  For relevant operations, KOCBANK will undertake an environmental review of each subproject.Center.Date SPI sent to PIC February 9, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365","","","","","","","","","","","","","",10.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan10.0Equity* These investment figures are indicative,"","","","","","",4691,"",AA - Commercial Banking - General,"","","",""
Demirbank Kyrgyzstan (DBK),Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Kyrgyz Republic,Demir Kyrgyz International Bank CJSC,"Global Industry, Financial Markets",1996-02-16T05:00:00Z,"",C,Loan,"Summary Of Project Information (SPI)Project NameKyrgyz Republic-Joint Venture BankEquity InvestmentRegionCentral Asia, Middle East & North AfricaSectorProject No004764Projected Board DateApril 1, 1996Company NameDemirbank KyrgyzstanTechnical Partner and/or Major Shareholders	Technical Partner - Demirbank - 60%; International Finance Corporation (IFC) - 15%, European Bank for Reconstruction (EBRD) and Development - 15% and FMO - 10%.Project Cost Including proposed IFC investment	The Bank will be capitalized at US$2.0 million, of which IFC will invest approximately US$300,000. IFC, FMO and EBRD will each make a loan of US$2.0 million to the Bank. FMO will participate under IFCs B loan program.Location of project and Description of site	Bishkek, Kyrgyz RepublicDescription of Company and Purpose of Project	The project will consist of the establishment of the first major international joint-venture bank in the Kyrgyz Republic.  The new institution is expected to provide essential banking services to private Kyrgyz enterprises and joint ventures.Environmental Category and Issues	This is a category C project.  No further environmental review is required.Date SPI sent to PIC February 16, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365","","","","","","","","","","","","","",2.30 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan2.0Equity0.30* These investment figures are indicative,"","","","","","",4764,"",AA - Commercial Banking - General,"","","",""
Indo Rama Synthetics (India) Ltd. - Underwriting of GDR and Rights Issue,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,South Asia,India,Indo Rama Synthetics (India) Ltd.,Regional Industry - MAS Asia & Pac,1996-02-20T05:00:00Z,"",B,Equity,"	SUMMARY OF PROJECT INFORMATIONProject Name				India-Indo Rama Synthetics (India) Ltd.Region					AsiaSector					ManufacturingProject No				004609Projected Board Date		March 1, 1996Company Name				Indo Rama Synthetics (India) LtdTechnical Partner and/or Major Shareholders	Indo Rama Synthetics India Limited belongs to the well established Lohia Group based in Indonesia. &nbsp;The Group is a major player in the polyester and yarns business. The main technical partners are DUPONT, U.S.A. and TOYOBO, Japan.Description of Location	Nagpur, Maharashtra - IndiaProject Cost and Proposed IFC Investment	Project cost is estimated at US$351 million. &nbsp;IFC proposes to:(a) Underwrite up to US$10 million, i.e. 20% of the Company''s proposed &nbsp; GDR offering of around US$50 million; and (b) Subscribe to its proportionate entitlement of Shares up to US$2.1 million in the Company''s forth coming Rights Issue. &nbsp;IFC is expected to act as the Joint Lead Manager for the proposed GDR issue.Description of Company and Purpose of Project	The project involves the setting up of an additional polyester capacity of 168,000 MT per annum at its existing plant in Nagpur. The expansion would increase the Company''s total polyester capacity to 237,000 MT per annum. &nbsp;The project would be implemented in two phases. &nbsp;Phase I would be commissioned by July 1996 and Phase II by January 1997. With this expansion, the Company will be well placed to become a major player in this dynamic sector of the Indian economy, which is expected to have considerable growth prospects given the country''s growing population, improving standards of living and restricted growth prospects for natural fibers. &nbsp;The expansion would have a significant developmental impact and provide economic benefits to the country through large scale employment as well as foreign exchange earnings, since a substantial part of the output would be exported. &nbsp;IFC is expected to play a significant role in the project. &nbsp;Its participation as a Joint Lead Manager would strengthen the marketability of the Company''s GDR offering, given the currently depressed market for Indian equity.Environmental Category and Issues	This is Category B project according to IFC''s environment review procedure. &nbsp;Environmental, health and safety issues associated with this project include liquid effluents, air emissions, work place noise and air and worker safety. &nbsp;The Sponsor has presented plans to address these issues and demonstrate the project will comply with applicable governmental and World Bank requirements.	Environment clearance has been given to this project and the Environmental Review Summary is available from the Public Information Center.Date SPI sent to PIC:		December 8, 1994					Revised: &nbsp;February 20, 1996For additional Information contact: &nbsp;Corporate Relations Unit - telephone:(202) 473-7711 - facsimile: &nbsp;(202) 676-0365.Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",2.17 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoanEquity2.17* These investment figures are indicative,"","","","","","",4609,"","AD - Integrated Textile Operation (Spinning, Weaving/Knitting, but no Garment )","","","",""
Turkiye Sise ve Cam Fabrikalari A.S.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Türkiye,TURKIYE SISE VE CAM FABRIKALARI ANONIM SIRKETI,"Gbl Ind, Manufact, Agribus & Services",1996-02-21T05:00:00Z,"",B,Loan,"Project Name            Turkey-Sisecam Glass Works and Cogeneration Project                     Region                  EuropeSector                  ManufacturingProject No              007103Projected Board Date    March 21, 1996Company Name            Sisecam GroupTechnical Partner and/or Major Shareholders                     The project sponsor is the Sisecam Group, Turkey''s largest glass producer.  The Sisecam Group controls all five operating companies.  Sisecam''s major shareholder is Turkiye Is Bankasi A.S., one of Turkey''s largest commercial banks, with about 70% ownership of the Group. Project Cost Including proposed IFC investment                     The total project cost including all five sub-projects is $334 million.  The projected IFC funding will be a $70 million loan of which about $35 million on IFC''s account and $35 million on the account of participants.Location of project and Description of site                     The float glass line is located at a new site within an existing industrial park, about 20 km from the port of Mersin in South East Anatolia.  The glassware factory and glass container factory will be located adjacent to one of Sisecam''s existing glass container factories near Mersin, about 7 km from the float glass project.  The glass fiber project is located at its existing site near the town of Gebze, 40 km south east of Istanbul.  The cogeneration project will be located adjacent to Sisecam''s existing float glass lines near Kirklareli in the Thrace region of Turkey.Description of Company and Purpose of Project                     The Sisecam Group is implementing a major modernization and expansion program from 1994 through 1997, to alleviate production capacity constraints caused by growing demand for glass products. The five sub-projects are as follows:  (i) a float glass line of 215,000 tonnes capacity to be operated by Trakya, Sisecam''s float glass producer;  (ii) a glassware factory with a capacity of 35,000 tonnes of soda lime mechanical glassware, to be operated by Kirklareli; (iii) a glass container factory with a capacity of 95,000 tonnes, to be operated by ACS; (iv) a glass fiber factory with a capacity of 30,000 tonnes, to be operated by Cam Elyaf; and (v) a 27 MW cogeneration plant supplying electricity and steam to Trakya and Kirklareli, to be operated by Camis Elektrik, a new Sisecam company.  The cogeneration project is motivated principally by forecasts of power shortages in Turkey beginning in 1997.Environmental Category and Issues                     This is an environmental review category B project;  principal issues include air emissions, liquid effluent, waste management and occupational health and safety.  Sisecam is investing in environmental protection measures to mitigate the environmental impacts of the projects and meet local requirements and World Bank guidelines.  For its Trakya float glass line, the company will install a flue gas desulfurization unit and an electrostatic precipitator to treat waste gases from the float furnace.  Because centralized wastewater treatment facilities will not be installed by the industrial park until a future date, biological wastewater treatment facilities for the Trakya plant will be constructed as part of the project.  At the ACS and Kirklareli plants, Sisecam will use the locally available No. 6 fuel oil in the expansions, but by December 31, 1999, will either switch to natural gas which is expected to arrive in the area by that time, or bring the plants into compliance with European Union requirements by that time.  The new glass fiber production line at Cam Elyaf will include bag filters to control particulates.  Sisecam''s cogeneration plant will be fueled by natural gas and employ low NOx burners to reduce emissions.  Solid wastes from Sisecam''s plants are used internally in other operations, disposed of in accordance with local practice, or recycled. Noise abatement procedures are included in designs, while filters and ventilation measures will be used to reduce particulate matter and vapors. The Environmental Review Summary is available from the Public Information Center.Date SPI sent to PIC February 21, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",30.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan30.0Equity* These investment figures are indicative,"","","","","","",7103,"",CA - Glass and Glass Products (Including Glass and Mineral Wool),"","","",""
Beaconhouse,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Middle East and North Africa,Pakistan,Beacon House School System,Regional Industry MAS MCT,1996-02-21T05:00:00Z,"",B,Risk Management,"Summary Of Project Information (SPI)Project NamePakistan-Beaconhouse School System (BSS)RegionCentral AsiaSectorProject No007295Projected Board DateMarch 21, 1996Company NameBeaconhouse School SystemTechnical Partner and/or Major Shareholders	BSS is owned by two private limited companies owned by Mr.Khurshid Kasuri, Mrs. Nasreen Kasuri and other family members.Project Cost Including proposed IFC investment	US$25.4 million.  IFCs investment would be a US$10.3 million loan and an equity investment of US$1.0 million equivalent.Location of project and Description of site	The schools will be built throughout the country in all the major cities in Pakistan including Lahore, Karachi, Islamabad, Faisalabad, Rawalpindi, Hyderabad, Multan, Gujranwala, Rahim Yar Khan and Kasur.Description of Company and Purpose of Project	The project involves the construction of 19 purpose-built schools in addition to the 64 existing schools most of which are not purpose-built.  The project would increase the student capacity from 32,000 to 52,430 after completion.Environmental Category and Issues	This is an environmental review Category B project; the major environmental issues as well as occupational health and safety issues associated with this project include liquid and solid waste disposal, fire prevention and safety.  All the proposed sites, except one, are directly connected to the municipal sewage system; at that one site on the outskirts of Lahore, arrangements for a septic tank facility are being made.  The school design conforms to the local bylaws that there are two stairways/exits to all floors.  There are very few combustible materials in the school buildings.  In the laboratories, where fire can be a hazard, fire extinguishers are available.  The  is  February 28, 1996 from the Public Information Center.Date SPI sent to PIC February 21, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",7.60 million (USD)Product LineIFC Investment (million USD)Risk Management0.60GuaranteeLoan7.0Equity* These investment figures are indicative,"","","","","","",7295,"",AA - Elementary and Secondary Schools,"","","",""
AEF Bailey Bridges (Nigeria) Limited,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,Nigeria,Bailey Bridges Nigeria Limited,"Gbl Ind, Manufact, Agribus & Services",1996-02-22T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameNigeria-Bailey Bridges (Nigeria) Limited RegionSub-Saharan AfricaSectorProject No004720Projected Board DateMarch 29, 1996Company NameBailey Bridges (Nigeria) LimitedTechnical Partner and/or Major Shareholders	Bailey Bridges Limited is owned in equal proportions by four Nigerians and a British citizen.  Messrs. Tete Mbuk and Ikpeme are the principal sponsors.  Technical partner is Adasco UK Limited; a company incorporated by the shareholders of Bailey Bridges to handle foreign liaison for Bailey Bridges. Project Cost Including proposed IFC investment	Total project cost is estimated at N45.2 million (US$532,000 equivalent).  IFC has been asked to provide a loan of US$117,000. Location of project and Description of site	The pontoon will operate across the Orashi River, about 1-1/2 hours drive from Port Harcourt in Rivers State, Nigeria. Description of Company and Purpose of Project	The Company specializes in the supply, installation and operation of prefabricated steel bridges for the oil industry for access to on-shore oil field locations.  The Company recently diversified into the hiring of ferry pontoons to the oil industry.  The proposed project is to purchase, install and operate a 110 MT pontoon ferry for Nigeria Agip Oil Company under a three year contract.                                	The project will strengthen an indigenous company in the oil service sector, and provide new opportunities for employment.  The surrounding villages will benefit from the pontoon operation through free transportation across the river.  By providing financial assistance to Bailey Bridges, IFC will develop indigenous entrepreneurship in a large, lucrative sector.Environmental Category and Issues	This is a category B project.  The main environmental issues include fuel storage, recycling, proper disposal of all motor fluids, safety around heavy equipment, proper disposal of bilge waste, fire safety, provision of life preservers and life boats as appropriate, and emergency response preparedness.  The sponsors have agreed to conform to World Bank environmental guidelines. According to the Environmental Division, no Environmental Review Summary was prepared for this project as its IPR approval predates the requirement for an ERS on AEF projects.Date SPI sent to PIC February 22, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",0.12 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan0.12Equity* These investment figures are indicative,"","","","","","",4720,"",BA - Oil and Gas Transport or Pipeline,"","","",""
"AEF Courdeau Catering Nigeria, Limited",Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,Nigeria,Courdeau Catering Company Nigeria Limite,Regional Industry - MAS Africa,1996-02-22T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameNigeria- Courdeau Catering Nigeria LimitedRegionSub-Saharan AfricaSectorProject No007267Projected Board DateMarch 29, 1996Company NameCourdeau Catering Nigeria LimitedTechnical Partner and/or Major Shareholders	The project is sponsored by Courdeau Nigeria Ltd., under the C&C Group of Companies.  The MD of Courdeau is Mr. R.R. Chagoury, a highly reputed Nigerian industrialist. Project Cost Including proposed IFC investment	Total project cost is estimated at N140.2 million (US$1.65 million equivalent).  IFC has been asked to provide a loan of US$660,000. Location of project and Description of site.	The project is located at Trans Amadi, the industrial zone of Port Harcourt, Rivers State. Description of Company and Purpose of Project	Courdeau Catering is a new company formed to serve as a preparatory and supply base to existing group catering business; and handle all catering contracts awarded to Courdeau.  It will operate as a unit under Courdeau (Nig.) Ltd.  Courdeau (Nig.) Ltd. is well established in the Nigerian industrial catering industry.  Courdeau (Nig.) Ltd. presently provides large contract services to some of the major oil companies operating in Nigeria.                                                                                                       The project will increase value added by processing food more efficiently through centralization.  The project also provides new opportunities for employment.  By participating in this project, IFC will strengthen the central kitchen concept, which is new in the Nigerian catering industry.Environmental Category and Issues	This is a category B project.  Environmental health and safety issues associated with this project include liquid and solid waste disposal, CFCs, housekeeping and hygiene, employee safety and training, and fire protection.  The sponsors are preparing a management plan detailing how the key environmental issues will be addressed; and are  committed to complying with applicable World Bank and local requirements.The Environmental Review Summary is expected to be available from the Public Information Center in or around March 15, 1996.Date SPI sent to PIC February 22, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",0.66 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan0.66Equity* These investment figures are indicative,"","","","","","",7267,"","AE - Other (Including Restaurants, Amusement Parks, etc.)","","","",""
Trinidad Industries (Pty) Ltd.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,Zimbabwe,Trinidad Industries (Pty) Ltd.,Regional Industry - MAS Africa,1996-02-22T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameZimbabwe-Trinidad Industries (1996) (Private) LimitedRegionSub-Saharan AfricaSectorProject No007273Projected Board DateMarch 29, 1996Company NameTrinidad Industries (1996) (Private) LimitedTechnical Partner and/or Major Shareholders	The major shareholders are Zimbabwean institutions including Old Mutual (31.5%), Southhampton Insurance (20%) and others (20.7%).  IFC is asked to subscribe to 22.2% of the shares.  The existing top management team will hold 5.6%.Project Cost Including proposed IFC investment	US$6.463 million total project cost: IFC loan of US$845,000 and equity investment of US$690,000 proposed.Location of project and Description of site	Msasa light industrial area on the outskirts of Harare and Mutare, eastern Zimbabwe.  These two sites are company-owned premises.Description of Company and Purpose of Project	Trinidad is a long-established company in Harare that specialises in the production of industrial and household adhesives; roofing felt and sealants; bitumen roofing and waterproofing compounds; plastic mouldings; and castor-oil based polyurethane systems.  The project consists of (a) the buyout of the assets by the management team and institutional investors and (b) production of a urea-formaldehyde (u.f.) liquid resin.  The u.f. would be sold to timber processors and chipboard manufacturers in Zimbabwe and the region.  Veneer and chipboard production is a heat curing process that needs special property glues.  Trinidad is already supplying these industries with PVA glues for laminiation and finger-jointing.	IFC will help to finance the transfer of ownership from a foreign owned group to a local investment syndicate under Zimbabwean management. The new owners are expected to grow the business and further broaden the ownership of the company.Environmental Category and Issues	This is a category B project according to IFCs environmental review procedure; principal issues include air emissions, liquid effluents, employee health and safety, phase-out of the use of asbestos, plant layout and general housekeeping, and site contamination from present and past activities.  Occupational health and safety issues include fire prevention and emergency response, and employee exposure to noise, dust and hazardous materials.  An environmental audit has recently been completed under IFC supervision.  The audit report will provide the basis for detailed recommendations on mitigation measures to be stipulated in an environmental management plan.The  is  from the Public Information Center.Host country location of environmental documentsCompany offices at 7 George Avenue, Amby, Harare, ZimbabweDate SPI sent to PIC February 22, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",1.45 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan0.85Equity0.61* These investment figures are indicative,"","","","","","",7273,"",EA - Paint and Adhesives,"","","",""
