Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Ruta del Sol Road,Advisory Services,"",Completed,Latin America and the Caribbean,Colombia,"","",2009-05-26T04:00:00Z,"","","","The project acts as transaction adviser to the Colombian government. The 
objective is to assist in structuring and implementing a public-private 
partnership project for the concession of 'Ruta del Sol,' the country's 
largest infrastructure project.","","","","","","","","","","","","","","","","","","","","",26216,"","",Infrastructure,"",2007-05-25T04:00:00Z,2007-10-18T04:00:00Z
Public Private Partnership for Alexandria University Hospitals,Advisory Services,"",Active,Middle East and North Africa,"Egypt, Arab Republic of","","",2009-05-26T04:00:00Z,"","","","The project helps Alexandria University (under Egypt's Ministry of Higher 
Education) modernize two of its important public hospitals. The objective 
is to expand and improve hospital care for the residents of Alexandria.","","","","","","","","","","","","","","","","","","","","",26249,"","",Infrastructure,"",2007-06-17T04:00:00Z,2007-06-27T04:00:00Z
Haiti TELECO,Advisory Services,"",Completed,Latin America and the Caribbean,Haiti,"","",2009-05-26T04:00:00Z,"","","","The project assists the Haitian government in structuring and implementing 
the privatization of the state-owned fixed-line telecom operator TELECO. 
The objective is to contribute to Haiti's development during the current 
climate of improved security, political stability, and international 
support.","","","","","","","","","","","","","","","","","","","","",26250,"","",Infrastructure,"",2007-12-15T05:00:00Z,2007-05-23T04:00:00Z
Haiti Airport,Advisory Services,"",Completed,Latin America and the Caribbean,Haiti,"","",2009-05-26T04:00:00Z,"","","","The project assists the government of Haiti in the concession of the 
airport of Port-au-Prince, with an option to privatize another regional 
airport. The objective is to reinforce the logistics chain of the country 
and limit budget funding in the airport sector.","","","","","","","","","","","","","","","","","","","","",26252,"","",Infrastructure,"",2007-12-15T05:00:00Z,2007-05-23T04:00:00Z
Mauritius Ports,Advisory Services,"",Completed,Africa,Mauritius,"","",2009-05-26T04:00:00Z,"","","","The project serves as lead adviser to the government of Mauritius as it 
introduces private sector participation in the financing, operation, and 
management of cargo-handling operations in the port sector, specifically 
in two transactions at Port Louis Harbour. The objective is to derive 
better operational performance and to mobilize private sector investment 
at Port Louis.","","","","","","","","","","","","","","","","","","","","",26352,"","",Infrastructure,"",2007-08-07T04:00:00Z,2008-07-29T04:00:00Z
Botswana Telecommunications Company Advisory,Advisory Services,"",Completed,Africa,Botswana,"","",2009-05-26T04:00:00Z,"","","","The project provides transition advice to the government of Botswana in 
privatizing the state-owned fixed-telecommunications incumbent, BTC. The 
objective is to bring in a strategic equity partner to enable BTC to 
invest in mobile technologies and catch up competitively with the two 
private mobile operators that have been serving the area since 1998.","","","","","","","","","","","","","","","","","","","","",26498,"","",Infrastructure,"",2007-10-19T04:00:00Z,2008-01-31T05:00:00Z
Benin Port,Advisory Services,"",Completed,Africa,Benin,"","",2009-05-26T04:00:00Z,"","","","The project assists the government of Benin in introducing private sector 
participation in the country's port sector, in compliance with a condition 
of the Benin Millennium Challenge Account for the expansion of the Port of 
Cotonou. Objectives are to: 1) provide transaction advice to the 
government regarding the appropriate level of transfer of activities to 
the private sector and the reinforcement of the role of the Port 
Authority; and 2) select through a transparent competitive process private 
operators to develop and operate the new quays, to be financed by the 
Millennium Challenge Corporation in the Port of Cotonou.","","","","","","","","","","","","","","","","","","","","",26544,"","",Infrastructure,"",2008-09-23T04:00:00Z,2008-09-01T04:00:00Z
Saudi Airports,Advisory Services,"",Completed,Middle East and North Africa,Saudi Arabia,"","",2009-05-26T04:00:00Z,"","","","The three-part project provides advisory services to the General Authority 
for Civil Aviation of Saudi Arabia for private sector participation 
development of three 'airport cities' in Jeddah, Ryadh, and Dammam. The 
objective is to upgrade the airport infrastructure facilities to make 
better use of the land within the airport boundaries, increase the 
commercial value of their operations, create economic activity, improve 
employment opportunities, and upgrade the quality of services.","","","","","","","","","","","","","","","","","","","","",26776,"","",Infrastructure,"",2008-02-20T05:00:00Z,2008-01-29T05:00:00Z
Air Jamaica,Advisory Services,"",Completed,Latin America and the Caribbean,Jamaica,"","",2009-05-26T04:00:00Z,"","","","The project assists the Jamaican government in restructuring and 
privatizing the state-owned national airline company Air Jamaica. The 
objective is to contribute to Jamaica's development and the private sector 
focus of the new government, and to participate in the restructuring of 
the Caribbean airline sector, a clear infrastructure regional priority.","","","","","","","","","","","","","","","","","","","","",26808,"","",Infrastructure,"",2007-12-22T05:00:00Z,2007-12-19T05:00:00Z
Bahia 093 Road Structure,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2009-05-26T04:00:00Z,"","","","The project assist the government of Bahia (in the poorest region of 
Brazil) in structuring and implementing a public-private partnership for a 
road system near the capital city of Salvador. The objective is the 
development of the state of Bahia and Brazil's northeast region, and 
reduction of the country's infrastructure bottleneck.","","","","","","","","","","","","","","","","","","","","",26967,"","",Infrastructure,"",2008-06-10T04:00:00Z,2008-05-05T04:00:00Z
Montenegro Bar Boljare Motorway,Advisory Services,"",Completed,Europe and Central Asia,Montenegro,"","",2009-05-26T04:00:00Z,"","","","The project supports the Government of Montenegro's in structuring concession for construction of  4 lane motorway between the port of Bar in the south and Boljare on the Montenegrin-Serbian border in the north. 
Objectives include: 1) reducing travel time between the Adriatic and 
Central Europe, thus facilitating development of tourism on the country's 
coast; 2) securing a reliable link between the less developed northern 
part of the country and the richer coast; 3) decreasing accident rates; 4) 
improving freight routes; 5) increasing development of the Port of Bar, 
the key entry port for Montenegro and for landlocked Serbia; and 6) 
increasing employment opportunities, particularly in the construction 
sector, thus stimulating the growth of local economies, including 
development of small and medium enterprises.","","","","","","","","","","","","","","","","","","","","",27325,"","",Infrastructure,"",2008-10-23T04:00:00Z,2008-05-26T04:00:00Z
Hydropower Plants on the River Moraca,Advisory Services,"",Completed,Europe and Central Asia,Montenegro,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services to the Government of Montenegro in mobilizing private sector participation for development of hydropower 
plants on the River Moraca. Objectives are to: 1) generate an additional 
700 gigawatt hours of energy, significantly reducing imports and improving 
the country's energy balance; 2) improve management of intra-day balancing 
of electricity production; 3) promote fiscal improvements via a decrease 
in imports as well as generation of new tax revenue; 4) reduce the 
frequency of extreme flood and drought in the Moraca river lower basin; 
and 5) increase employment (particularly in the construction sector) and 
create opportunities for local economic growth, including SME development.","","","","","","","","","","","","","","","","","","","","",27548,"","",Infrastructure,"",2008-11-12T05:00:00Z,2008-10-15T04:00:00Z
APUFIDC Urban Sector PPP - SWM,Advisory Services,"",Completed,South Asia,India,"","",2009-05-26T04:00:00Z,"","","","The public-private partnership (PPP) project provides advisory services to 
the Andhra Pradesh Urban Finance and Infrastructure Development 
Corporation and the government of Andhra Pradesh, India. Objectives 
include: 1) improving the solid waste management (SWM)-related 
infrastructure and services; 2) avoiding or reducing the fiscal burden of 
building new infrastructure; 3) putting in place a transaction structure 
that assures sustainability of this and similar future PPP projects; 4) 
expanding access to water for below-poverty-line households; and 5) 
complying with national regulatory directives on scientific treatment and 
disposal of solid waste by all urban local bodies in the country.","","","","","","","","","","","","","","","","","","","","",27812,"","",Infrastructure,"",2009-01-29T05:00:00Z,2009-02-01T05:00:00Z
Poland Efficient Lighting Project (PELP),Advisory Services,"",Completed,Europe and Central Asia,Poland,"","",2009-05-26T04:00:00Z,"","","","The project provides financial and advisory support for Poland's 
conversion to more efficient lighting, and related economic and 
manufacturing benefits. Objectives include reducing GHG and CO2 emissions, 
developing a sustainable market for energy-efficient products, developing 
the capability of Poland's electricity-distribution companies, increasing 
domestic manufacturing capacity, and spurring sustained market growth.","","","","","","","","","","","","","","","","","","","","",502217,"","",Other,"",2007-08-09T04:00:00Z,1998-08-01T04:00:00Z
GEF Slovakia Ozone Depleting Substances (ODS) Phaseout,Advisory Services,"",Completed,Europe and Central Asia,Slovak Republic,"","",2009-05-26T04:00:00Z,"","","","The project assists the Slovak Republic in phasing out ozone-depleting 
substances in a cost-effective manner. The objective is to eliminate all 
the CFC-11 used in the domestic refrigerator sector and about half of the 
CFC-12 used in domestic refrigerator manufacturing.","","","","","","","","","","","","","","","","","","","","",502218,"","",Other,"",2007-08-09T04:00:00Z,1997-08-05T04:00:00Z
GEF SE Hungary Energy Efficiency Co-Financing Program I(HEECP I),Advisory Services,"",Completed,Europe and Central Asia,Hungary,"","",2009-05-26T04:00:00Z,"","","","The project provides finance and advisory services to eligible financial 
institutions in Hungary for financing of energy efficiency (EE) projects. 
The objective is to reduce credit risk and transaction costs of EE 
financing.","","","","","","","","","","","","","","","","","","","","",502220,"","",Access To Finance,"",2007-03-02T05:00:00Z,1997-03-03T05:00:00Z
GEF Terra Capital Fund,Advisory Services,"",Completed,Latin America and the Caribbean,Latin America Region,"","",2009-05-26T04:00:00Z,"","","","The project provides funding to attract commercial capital into 
enterprises in Latin America that benefit biodiversity, and it creates a 
pilot for the development of an investment subsector for such businesses. 
The objectives are 1) to incentivize users and owners of biodiversity to 
protect these assets in the long run, and 2) to realize long-term capital 
appreciation through equity or quasi-equity investments in enterprises in 
Latin America that sustainably use and conserve biodiversity.","","","","","","","","","","","","","","","","","","","","",502221,"","",Other,"",2007-06-13T04:00:00Z,1997-08-05T04:00:00Z
GEF SE Sustainable Energy Facility (REEF II),Advisory Services,"",Active,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project 1) increases the flow of seed capital to small and medium 
clean energy enterprises in developing countries; 2) facilitates the 
availability of later-stage growth capital; 3) acts as a catalyst and 
market change agent; and 4) supports capacity building and improved 
efficiency of organizations and individuals to carry on future 
transactions. The objective is sustainable growth in clean energy 
production.","","","","","","","","","","","","","","","","","","","","",502222,"","",Access To Finance,"",2007-03-02T05:00:00Z,1997-12-02T05:00:00Z
GEF Photovoltaic Market Transformation Initiative,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project is a strategic intervention to accelerate the sustainable 
commercialization and financial viability of photovoltaic (PV) technology 
via selected concessional investments in private sector PV market 
development projects in India, Kenya, and Morocco. The objective is to 
provide successful examples of sustainable and replicable business models 
that can be financed on a commercial basis.","","","","","","","","","","","","","","","","","","","","",502223,"","",Other,"",2007-04-26T04:00:00Z,1998-07-01T04:00:00Z
GEF Small and Medium Size Enterprise (SME) Program,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project supports financial intermediaries that fund globally dispersed 
small-scale projects that generate biodiversity or climate-change 
benefits. The objective is greater private sector participation in 
financing of Global Environment Facility-eligible SME projects, plus a 
long-term demonstration effect to encourage private sector incorporation 
of global environmental concerns at the SME level.","","","","","","","","","","","","","","","","","","","","",502224,"","",Other,"",2007-06-11T04:00:00Z,1996-06-01T04:00:00Z
GEF SE Efficient Lighting Initiative (ELI) Tranche I & II,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The three-year project accelerates the development of the efficient 
lighting market in seven country markets by over five years, thereby 
reducing greenhouse gas emissions associated with providing electric 
lighting services in those markets. The objectives are to improve 1) 
market development (as measured by product availability, price per 
product, and number of products sold), and 2) impact (as measured by 
electricity savings and greenhouse gas emissions reductions).","","","","","","","","","","","","","","","","","","","","",502238,"","",Other,"",2007-03-07T05:00:00Z,1997-08-06T04:00:00Z
GEF SE Cepalco Solar Photovoltaic Demonstration Project,Advisory Services,"",Completed,East Asia and the Pacific,Philippines,"","",2009-05-26T04:00:00Z,"","","","The project helps CEPALCO demonstrate the technical, operational, and 
possible economic feasibility of using photovoltaic-based energy to 
supplement and strengthen the capacity of existing hydro production 
facilities, initially in the Philippines. The objective is to eliminate 
the need for additional thermal power generation facilities, thereby 
reducing greenhouse gas emissions, and to have a demonstration effect in 
other developing countries.","","","","","","","","","","","","","","","","","","","","",502486,"","",Other,"",2007-03-02T05:00:00Z,1998-12-16T05:00:00Z
GEF EB - Environmental Business Finance Program,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project 1) develops lending programs with mainstream financial 
institutions for SMEs involved in Global Environment Facility-eligible 
activities and those that support them; 2) builds the technical capacity 
of eligible SMEs and financial institutions; and 3) raises consumer 
awareness of the products and services of these SMEs. The objective is to 
develop a sustainable market for eligible SMEs.","","","","","","","","","","","","","","","","","","","","",504446,"","",Other,"",2007-06-15T04:00:00Z,2000-05-23T04:00:00Z
BDGEF Marine Aquarium Market Transformation Initiative (MAMTI),Advisory Services,"",Completed,East Asia and the Pacific,East Asia and Pacific Region,"","",2009-05-26T04:00:00Z,"","","","The project uses conservation management and rehabilitation to ensure the 
health of coral reef ecosystems and their contribution to poverty 
alleviation and food security, by 1) transforming at least 17 percent of 
the worldwide marine aquarium industry, 2) establishing marine management 
areas, and 3) increasing awareness of the benefits of harvesting marine 
ornamentals in a manner that conserves global biodiversity. The objective 
is to transform the marine aquarium trade of the Philippines and Indonesia 
to ecological and economic sustainability.","","","","","","","","","","","","","","","","","","","","",506049,"","",Other,"",2007-03-07T05:00:00Z,2000-09-10T04:00:00Z
GEF SE Commercializing Energy Efficiency Finance (CEEF),Advisory Services,"",Completed,Europe and Central Asia,Central Europe Region,"","",2009-05-26T04:00:00Z,"","","","The project 1) promotes entry of domestic financial institutions into the 
energy efficiency (EE) financing market; 2) builds their capacity; 3) 
improves credit conditions for borrowers; 4) promotes financial innovation 
in this market; 5) builds capacity of the energy industry to market, 
structure, and finance EE projects, and to accelerate development of the 
EE market; 6) expands deployment of nongrant contingent finance tools for 
the Global Environment Facility; and 7) refines and streamlines 
administrative and management procedures. The objective is to reduce 
emissions of greenhouse gases.","","","","","","","","","","","","","","","","","","","","",506396,"","",Access To Finance,"",2007-03-02T05:00:00Z,2001-10-24T04:00:00Z
GEF Philippines Sustainable Energy Financing Program,Advisory Services,"",Completed,East Asia and the Pacific,Philippines,"","",2009-05-26T04:00:00Z,"","","","The project helps the Philippine market build sustainable capacity to 
develop and finance commercial transactions that use energy more 
efficiently or use new energy sources at several levels. The objective is 
to create a commercial lending platform for energy efficiency, with 
emphasis on financial institutions, project developers, and end users.","","","","","","","","","","","","","","","","","","","","",507694,"","",Access To Finance,"",2007-06-15T04:00:00Z,2009-03-01T05:00:00Z
Central Asia Leasing Facility - Technical Assistance,Advisory Services,"",Completed,Europe and Central Asia,Central Asia Region,"","",2009-05-26T04:00:00Z,"","","","The project provides support for financial institutions (FIs) involved in 
the Central Asia Leasing Facility. The objectives are to strengthen the 
capacity and improve the management information system of each 
participating FI; and to complete required improvements in the regulatory 
framework of leasing in each country.","","","","","","","","","","","","","","","","","","","","",522754,"","",Access To Finance,"",2005-07-12T04:00:00Z,2005-05-01T04:00:00Z
China Utility-Based Energy Efficiency Finance Program,Advisory Services,"",Completed,East Asia and the Pacific,China,"","",2009-05-26T04:00:00Z,"","","","The project supports the marketing and development of financial products 
that increase Chinese financial institutions' (FI) investment in energy 
efficiency (EE) in the commercial, industrial, institutional, and 
residential sectors. The objective is to create effective, commercially 
sustainable delivery mechanisms for developing, implementing, and 
financing EE projects via partnerships with private sector energy 
utilities, FIs, EE suppliers, and end users; and to develop the capacities 
of these key players to develop, implement, and finance EE projects on an 
ongoing commercially sustainable basis.","","","","","","","","","","","","","","","","","","","","",523295,"","",Access To Finance,"",2007-03-02T05:00:00Z,2004-03-30T05:00:00Z
Biodiversity and Agricultural Commodities Program,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project supports global market-transformation efforts and the adoption 
of better management practices related to biodiversity in four target 
commodity sectors: palm oil, soybeans, sugarcane, and cocoa. The 
objectives are 1) a strong enabling environment to support cost-effective 
biodiversity preservation at all levels of the value chain; 2) 
biodiversity-friendly production practices and on-farm processing; 3) 
increased mainstream demand for commodities produced using 
biodiversity-friendly techniques; and 4) recognition by financial 
institutions of the economic benefits of such production methods and 
practices.","","","","","","","","","","","","","","","","","","","","",523359,"","",Other,"",2007-06-13T04:00:00Z,2004-07-01T04:00:00Z
First MicroFinanceBank of Tajikistan,Advisory Services,"",Completed,Europe and Central Asia,Tajikistan,"","",2009-05-26T04:00:00Z,"","","","The project provides assistance to First Micro Finance Bank-Tajikistan. 
The objective is for the bank to become the first private sector licensed 
microfinance bank to provide efficient financial services to the 
underserved and poor populations in rural and urban areas of Tajikistan.","","","","","","","","","","","","","","","","","","","","",530781,"","",Access To Finance,"",2005-08-05T04:00:00Z,2004-01-01T05:00:00Z
Microfinance Downscaling Facility,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project supports commercial banks that have an interest in developing 
microfinance operations. The objective is to scale up the number of 
microenterprises that have access to financial services.","","","","","","","","","","","","","","","","","","","","",533976,"","",Access To Finance,"",2005-08-05T04:00:00Z,2005-02-01T05:00:00Z
ProCreditBank TA,Advisory Services,"",Completed,Africa,"Congo, Democratic Republic of","","",2009-05-26T04:00:00Z,"","","","The project assists ProCredit Bank with training, systems development, and 
establishment infrastructure, to establish a bank in the Democratic 
Republic of Congo. The objective is for the bank to provide financial 
services specifically tailored to micro and small enterprises, as well as 
individuals, that do not have access to financial services offered by 
commercial banks or microfinance nongovernmental organizations.","","","","","","","","","","","","","","","","","","","","",533977,"","",Access To Finance,"",2005-08-05T04:00:00Z,2005-01-10T05:00:00Z
Cairn Linkages Program,Advisory Services,"",Completed,South Asia,India,"","",2009-05-26T04:00:00Z,"","","","The joint project with Cairn India (oil and gas industry) helps promote 
economic and social development of Barmer District in Rajasthan, India, 
through SME linkages and local business development, health awareness and 
education, and corporate social responsibility. The objectives are 1) to 
improve local SMEs' ability to meet Cairn's procurement requirements; 2) 
to increase income-generating opportunities; and 3) to improve economic 
development opportunities for rural communities impacted by Cairn's 
operations.","","","","","","","","","","","","","","","","","","","","",535944,"","",Corporate Advice,"",2006-10-03T04:00:00Z,2007-01-01T05:00:00Z
BE-Mekong,Advisory Services,"",Completed,East Asia and the Pacific,East Asia and Pacific Region,"","",2009-05-26T04:00:00Z,"","","","The project offers Business Edge training to SME managers and would-be 
managers in key functional areas, such as marketing, human resources 
management, general and operations management, finance and accounting, and 
personal productivity. The objective is to enhance participants' business 
management skills.","","","","","","","","","","","","","","","","","","","","",537169,"","",Corporate Advice,"",2005-07-25T04:00:00Z,2005-06-06T04:00:00Z
SME Banking in South Africa,Advisory Services,"",Completed,Africa,South Africa,"","",2009-05-26T04:00:00Z,"","","","The project works with financial institutions, credit reporting companies 
and bureaus, and existing business services programs in South Africa to 1) 
improve credit information on SME lending, 2) equip banks to serve SMEs 
through efficient, high volume lending operations, and 3) enable banks to 
draw benefits from existing business development service programs. The 
objective is to support and accelerate SME lending in South Africa.","","","","","","","","","","","","","","","","","","","","",537286,"","",Access To Finance,"",2006-09-22T04:00:00Z,2006-11-01T05:00:00Z
SME Toolkit Global,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The global project leverages the latest information and communications technology to provide SMEs in developing countries access to business management information, interactive tools, and training resources to improve the performance of their businesses.  The program works with a network of global partners, and local partners that manage localized SME Toolkit sites.","","","","","","","","","","","","","","","","","","","","",537683,"","",Corporate Advice,"",2005-08-08T04:00:00Z,2005-06-16T04:00:00Z
Ahafo SME Linkage Program,Advisory Services,"",Completed,Africa,Ghana,"","",2009-05-26T04:00:00Z,"","","","The project assists communities impacted by the Ahafo Gold Project in 
Ghana through 1) building capacity of local businesses in sectors 
important to the mining industry; 2) promoting opportunities for nonmining 
enterprises; and 3) building capacity of local institutions that promote 
entrepreneurship in the area. The objective is to contribute to 
sustainable economic growth, stable living conditions, and low risks of 
social turmoil.","","","","","","","","","","","","","","","","","","","","",537863,"","",Corporate Advice,"",2007-06-08T04:00:00Z,2005-07-31T04:00:00Z
Global Credit Bureau Program,Advisory Services,"",Completed,World,World Region,"","",2009-05-26T04:00:00Z,"","","","The project delivers a combination of short-term interventions and 
long-term coaching and support, depending on the specific country's needs, 
to develop and improve credit bureaus. The objective is to foster the 
development of private credit bureaus in emerging markets to facilitate 
the extension of credit to previously underserved segments of the 
population, in particular small businesses, and to strengthen the 
financial sectors in the target countries and contribute to sustainable 
economic growth.","","","","","","","","","","","","","","","","","","","","",538123,"","",Access To Finance,"",2006-02-01T05:00:00Z,2005-07-25T04:00:00Z
SME Service Center - Madagascar Pilot,Advisory Services,"",Completed,Africa,Madagascar,"","",2009-05-26T04:00:00Z,"","","","The pilot project promotes a comprehensive approach to fulfilling the 
needs of SMEs in Madagascar. The objective is to establish a physical 
locationthe SME Solutions Centerthat offers SMEs an integrated package 
of advisory services and financing solutions.","","","","","","","","","","","","","","","","","","","","",538205,"","",Corporate Advice,"",2005-10-04T04:00:00Z,2004-06-01T04:00:00Z
