Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Patenga Container Terminal PPP,Advisory Services,"",Active,South Asia,Bangladesh,"","",2022-10-28T04:00:00Z,"","","","IFC will provide transaction advisory assistance to the PPP Authority and the Chittagong Port Authority in selecting a private sector operator to equip, operate, maintain and transfer Patenga Container Terminal in Chattogram Port.","","","","","","The successful implementation of the Project is expected to result in provision of container terminal services, and mobilization of private sector investment in the transport sector of Bangladesh.","","","","","","","","","","","","","","",607217,"","",Transaction Advisory,"","",2022-09-01T04:00:00Z
Upstream Support to EscoSolar,Advisory Services,"",Active,Central Asia and Turkiye,Turkiye,"","",2022-10-28T04:00:00Z,"","","","The Opex-model for distributed generation (DG) is a relatively nascent approach by companies offering rooftop solar to their commercial and industrial client base. The model circumvents the capex-heavy upfront investment through a build-operate-transfer or power purchase agreement. A client thus benefits from a reliable and affordable source of energy  a solid alternative to Türkiye's energy grid. To assess the potential for Opex-driven DG in Türkiye, IFC conducts a client preparation project with the local company EscoSolar. The project will assess how EscoSolar is developing a bankable PPA model by providing legal, technical, financial and E&S compliance reviews with local legal, accounting, and consultancy firms. Dependent on the findings, the project may lead to increased confidence in the Opex-model and Türkiye's DG market, as well as potential financing opportunities should the business case remain strong.","","","","","","As part of its advisory support to the client, the IFC will review and provide feedback about the Company's (i) approach to identifying and managing ESG risks and impacts; (ii) supply chain and procurement strategy and processes; (iii) alignment with local ESG regulations; (iii) alignment with applicable IFC Performance Standards; and (iv) approach to climate disclosure (i.e., ability to capture and report its positive climate impact in line with international reporting requirements). The project has a high developmental impact and is in line with IFC's energy sector strategy by aiming to accelerate efforts towards climate response and energy transition and with SDG7 which focuses on ensuring access to affordable, reliable, sustainable, and modern energy for all.","","","","","","","","","","","","","","",606677,"","",Infrastructure,"",2021-11-29T05:00:00Z,2021-11-15T05:00:00Z
Jubaili Agrotec Group,Advisory Services,"",Active,Africa,Nigeria,"","",2022-10-26T04:00:00Z,"","","","The Jubaili Agrotec Group (simply Jubaili) is a leading importer, distributor and formulator/manufacturer of agrochemicals in Africa.  Jubaili was established in 2002 in Nigeria and since then, expanded to Ghana (2014), Uganda (2015), Tanzania (2016) and Kenya (2017). It's product portfolio of pesticides (i.e., insecticide, herbicide, fungicide), animal feed, veterinary drugs, fertilizer products, seeds and sprayers are distributed through its own retail networks (30%) and agro-dealers (70%) to small holder farmers to improve agricultural productivity. From 2019 Jubaili started producing 84,000 L/day of pesticides in Nigeria to complement the imported agrochemicals. The client is yet to have an Environmental and Social Management System (ESMS) in line with IFC Performance Standards. An IFC loan of $35M to Jubaili to expand its pesticides production plant in Nigeria, build a herbicide manufacturing plant in Ghana, and packaging materials facilities in Uganda and Tanzania is to allow it increase its sales and market shares in the target countries from 7-15% to 35%. 

In the implementation of the this MAS Advisory Services project, IFC will provide technical assistance to Jubaili to develop and deploy an ESMS for Jubaili's agrochemicals production plant in Nigeria in compliance with IFC's Performance Standards,  directly train farmers cooperative leaders as training of trainers (ToT)  on the optimal use and handling of crop protection products (CPP) using a GAP digital training platform to train their members, and deploy the IFC ALP program to professionalize the last mile retailers. As Gender has become an integral part of IFC's projects, women farmers will be prioritized to participate in the direct capacity building programs using GAP digital training platforms.","","","","","","At completion, the project expects to achieve the following in Nigeria:
-  Jubaili's ESMS implemented and trained trainers equipped to support with the implementation of the ESMS in Nigeria.
-  At least 50% of the 6,200 smallholder farmers directly trained on the best practices of use and handling of agrochemicals using a GAP digital platform are using crop protection products safely (i.e., correct choice of CPP, correct dosage, use of PPE during spraying, approved disposal of containers, and secure storage).
- At least 60% of the 840 LMRs trained and coached on basic business skills in Kano State (280), Plateau State (280), and Gombe State (280) show an average improved score of at least 30% and an increase in CPP sales revenue by at least 20% over the baselines two years after project completion.","","","","","","","","","","","","","","",606830,"","","Manufacturing, Agribusiness & Services","","",2022-05-30T04:00:00Z
Jordan Debt Resolution & Business Exit 2,Advisory Services,"",Active,Middle East,Jordan,"","",2022-10-26T04:00:00Z,"","","","The component about strengthening the insolvency regulatory framework will be achieved by developing third tier regulations. The component about capacity building & knowledge sharing will be achieved by training and licensing a batch of Insolvency Practitioners under the new framework, strengthening judges 'capacity through developing training material for judges and delivering in cooperation with the Judiciary Council an in-depth training for Judges, holding awareness raising workshops for main stakeholders and developing a Standard Operating Procedures.","","","","","",The project aims to support the Government of Jordan in implementing the new insolvency regime in order to facilitate sound loan recovery and restructuring of viable yet distressed firms and to allow efficient and effective exiting of unviable firms.,"","","","","","","","","","","","","","",603353,"","",Other,"",2020-06-11T04:00:00Z,2020-05-15T04:00:00Z
Cote dIvoire Legislative Reform for Womens Economic Inclusion,Advisory Services,"",Active,Africa,Cote D'Ivoire,"","",2022-10-25T04:00:00Z,"","","",The project will provide advisory support based on key areas of gender inequality in the law identified as regulatory constraints to women's economic participation. Preliminary diagnostic of Côte d'Ivoire's legal framework points to opportunities for reform. The project will focus on reforming laws in four aspects of women's economic lives. The project will explore conducting an analysis of government data collection systems to assess and recommend improvements to gender disaggregated data subject to buy-in by the government.,"","","","","","The objective of the project is to reduce gender legal inequalities and discrimination for women in access to jobs and employment opportunities in all sectors and industries and after having children, access to finance and protection from domestic violence, with the overall goal of increasing women's economic empowerment. To improve women's access to employment in all jobs and industries, the project aims to support the adoption of at least four legal/regulatory changes including changes to the Labor Code and Criminal Code as well as implementing regulations on gender-based discrimination and parental leave. To achieve this objective, the pilot project will: i) work with government in drafting legal amendments in the areas mentioned above; and ii) support the government with the implementation and dissemination of these reforms. The project will also work with the private sector to identify and support champions for the implementation of these reforms.","","","","","","","","","","","","","","",606415,"","",Other,"",2022-01-12T05:00:00Z,2021-11-19T05:00:00Z
BCI Angola Advisory Project,Advisory Services,"",Active,Africa,Angola,"","",2022-10-21T04:00:00Z,"","","",The goal of this project is to assist BCI conduct its diagnostic exercise and develop the bank new strategy with the objective to become a leading commercial and agricultural bank in Angola.,"","","","","",The IFC advisory project with BCI aims to assist the bank conduct its diagnostic exercise and develop the bank new strategy to contribute to improve access to finance opportunities for local MSMEs including in the Agri sector in Angola.,"","","","","","","","","","","","","","",607206,"","",Financial Institutions Group,"","",2022-12-01T05:00:00Z
Banco Millennium Atlántico ESMS Support,Advisory Services,"",Active,Africa,Angola,"","",2022-10-21T04:00:00Z,"","","",This AS engagement will support BMA to enhance it's environmental and social management system (ESMS) and build staff capacity to effectively implement it. This will ultimately contribute to de-risking the BMA portfolio and building more sustainable businesses amongst its clients.,"","","","","",The project will provide support to the client to enhance it's environmental and social management system and build the client's capacity so that it considers environmental and social risks in its transaction process.,"","","","","","","","","","","","","","",607373,"","","Environment, Social and Governance","",2022-10-03T04:00:00Z,2022-09-26T04:00:00Z
Project Name Pending,Advisory Services,"",Active,Global,Country Pending,"","",2022-10-14T04:00:00Z,"","","","The extent to which businesses can recruit, motivate, train, help grow and retain a diverse talent pool and put in place the processes that support staff's ability to thrive is a key determinant for innovation, productivity and overall firm performance and business competitiveness. Companies across manufacturing, agribusiness and services industries often face challenges to create an environment in which employees are engaged and supported to work productively, and in which they can grow and contribute their skills to business success. Understanding gender and diversity dynamics in talent management, creating inclusive workplaces and investing in employee engagement are crucial for increasing competitiveness and profitability, which leads to higher wages and better-quality jobs. In this context, IFC's Workforce Platform aims to address various and evolving employment-related challenges that clients in manufacturing, agribusiness and services industries face when managing their workforce. The Platform offers two approaches to support clients depending on their needs and priorities: (1) Workforce Productivity & Operational Efficiency: This approach provides an assessment (based on Lean manufacturing and Lean management concepts) that helps clients understand where they are situated vis-a-vis global best practices with regards to their workforce productivity and overall operational efficiency, including recommendations for improvements, followed by coaching support to help clients prioritize actions and kickstart implementation. (2) Gender & Inclusive Workplaces: This approach provides gender and employment assessments, including recommendations for improvements, followed by in-depth customized advisory services, to help clients understand their unique business case for investing in gender-smart employment solutions and working conditions favorable to women and diverse groups. In addition, through the Workforce Platform, IFC provides thought leadership through case studies, blogs, events and research to create and disseminate sector-specific information on how the private sector can actively develop and benefit from inclusive workforce solutions that enhance their productivity and operational efficiency.","","","","","","The overall goal of the Workforce Platform is to support IFC clients in manufacturing, agribusiness and services industries to create more productive and inclusive workplaces through improved employee engagement, career development opportunities for women and diverse groups, inclusive and gender-sensitive policies and overall improvements in operational efficiency. This will be achieved through assessments, advisory, and knowledge creation and dissemination.","","","","","","","","","","","","","","",607207,"","","Manufacturing, Agribusiness & Services","",2022-05-30T04:00:00Z,2022-07-01T04:00:00Z
One Acre Fund Agri Insurance,Advisory Services,"",Active,Africa,Kenya,"","",2022-10-13T04:00:00Z,"","","","Activities under the project will be organized around three main components:

COMPONENT 1: ESTABLISHMENT OF A RISK MANAGEMENT/PARTICIPATION VEHICLE

The main goal of this component is to enable 1AF to streamline its insurance operations for better time and cost efficiency. Centralized insurance financing would also allow for the pooling of risk across different countries (diversification benefits).

COMPONENT 2: PRODUCT AND CAPACITY DEVELOPMENT SUPPORT

To address the need for 1AF to develop new high quality climate/index insurance products for its farmers, IFC will:
1.	Support 1AF in the acquisition of data that can facilitate more accurate index insurance product development. This includes farmer GPS and remote sensing data.
2.	Provide technical advisory for the development of new insurance products by 1AF. This may include technical review of products developed by 1AF and its other partners, and advice on the establishment of a robust basis risk validation process for index-based insurance products. It may also include the exploration of a corporate-level index-based product, covering 1AF's entire credit portfolio.
3.	Train 1AF staff on agri insurance product evaluation and the management of the proposed risk management/participation vehicle.

COMPONENT 3: HIGH-VALUE INSURANCE TRIAL

1AF's current insurance arrangement only covers 50-60% of the cost of inputs loaned to the farmers. The organization would like to conduct research to estimate the level of coverage that would most contribute to higher farmer resilience (without over-insuring the farmer), i.e., should insurance cover the full value or a certain percentage of the expected yield? In addition, how much premium can farmers afford for the ideal coverage? What metrics should be used to measure farmers' improved resilience? 1AF would then like to use the results to gradually transition its farmers from input-based insurance to this 'high-value' insurance.

IFC will support 1AF in addressing this need by mobilizing resources for a controlled trial in one country (possibly Malawi). This trial will seek to test the impact of different insurance coverage levels on farmer resilience. It will also establish the most ideal metrics to use in measuring farmer resilience to climate risk. Study findings will be made public and could potentially be applied by other stakeholders with an interest in promoting access to resilience-building instruments for the agricultural sector.

A research firm will be competitively selected to design and monitor this study for at least 3 cropping seasons (between 2022 and 2025).
","","","","","","The overall objective of this project is to improve access to quality climate insurance by farmers benefitting from One Acre Fund's agri-financing and advisory bundle. This would ultimately enhance their resilience to climatic and related shocks. More specifically, the project will seek to achieve the following:

1.	Establish a risk management/participation vehicle that would allow One Acre Fund to centralize its insurance operations, have greater flexibility in product options for its farmers, and allow farmers to benefit from the diversification and other cost saving benefits of such a set up.
2.	Facilitate the launch of at least 1 new insurance product based on emerging remote sensing data.
3.	Facilitate the issuance of at least 1.5 million climate insurance policies to smallholder farmers.
4.	Generate premium volume of at least 1.5 million USD.
5.	Conduct a study to determine the level of insurance coverage that best enhances farmer resilience.","","","","","","","","","","","","","","",605904,"","",Financial Institutions Group,"",2022-08-16T04:00:00Z,2022-08-15T04:00:00Z
VN IESG for Financial Sector,Advisory Services,"",Active,East Asia and the Pacific,Vietnam,"","",2022-10-12T04:00:00Z,"","","","This IP covers the activities IFC will undertake to create a level playing field for FI's ESG practices and address ESG bottlenecks to investment by working with the financial sector, including financial institutions, financial regulators, and related service providers. There will be three components:

Component 1: Improved ESG performance of Financial Institutions

Component 2: Strengthened regulatory and enabling environment to advance ESG standards and good practices by the financial sector and the capital market 

Component 3: Build capacity of local market intermediaries to provide effective and high-quality ESG services
","","","","","","The project aims to increase the uptake of ESG standards and practices in the financial sector to reduce ESG bottlenecks and facilitate sustainable investments. This will be carried out by providing direct advisory support to FIs to improve their ESG practices, strengthening the ESG enabling environment and developing the capacity of local market intermediaries.","","","","","","","","","","","","","","",606620,"","","Environment, Social and Governance","",2022-03-10T05:00:00Z,2022-03-10T05:00:00Z
Liberia Agribusiness Private Sector Development Project,Advisory Services,"",Active,Africa,Liberia,"","",2022-10-12T04:00:00Z,"","","","The Project aims to build sector competitiveness by qualifying the market opportunities in the cocoa, rubber, and palm oil value chains. It focuses on providing market intelligence to promote competitiveness, supporting sector interventions such as designing certification systems in cocoa and palm oil, mainstreaming higher value production methods in rubber, or promoting the application of information technologies in agriculture (AgTechs). It will also increase awareness of environmental and social (E&S) standards, specifically adjusted to the Liberia operating conditions.

The project focus on Agribusiness is part of IFC's broader private sector development program in Liberia, including trade, investment promotion, and financial inclusion (secured transactions and digital financial services).","","","","","",The objective of the Project is to facilitate the improvement of the market conditions to increase export of agriculture sector.,"","","","","","","","","","","","","","",604949,"","",Other,"",2022-07-11T04:00:00Z,2022-07-15T04:00:00Z
Togo Affordable Housing,Advisory Services,"",Active,Africa,Togo,"","",2022-10-04T04:00:00Z,"","","","IFC will provide transaction advisory services to the Government of Togo to develop and implement a public-private partnership under the government's affordable housing program, with the private partner to finance, build, and transfer social housing units for the GoT.","","","","","","Once completed, this project is expected to provide new affordable housing units for a targeted population of low- and middle income households in Lome, Togo.","","","","","","","","","","","","","","",606634,"","",Transaction Advisory,"",2022-02-24T05:00:00Z,2022-02-28T05:00:00Z
South Pacific Oil Limited CFS,Advisory Services,"",Active,East Asia and the Pacific,Solomon Islands,"","",2022-10-04T04:00:00Z,"","","",IFC is supporting a petroleum fuel importer and distributor (the Company) in Asia to perform a diagnostic and assessment of the Company's strategy and an ESG diagnostic (the Project). The Project will deliver a diagnostic report to provide recommendations on the Company's transformation strategy.,"","","","","",The Project focuses on the future sustainable development of the Company. The diagnostics will provide a view of the environmental impact of the Company's operations and its future transformation strategy to align with the country's objectives under the Paris Agreement.,"","","","","","","","","","","","","","",606545,"","",Transaction Advisory,"",2021-12-17T05:00:00Z,2021-10-23T04:00:00Z
ASA Hospital,Advisory Services,"",Active,Europe,Bosnia and Herzegovina,"","",2022-09-27T04:00:00Z,"","","","ASA Group is an investor in the financial, healthcare, real estate, natural resources and other customer services sectors based in Bosnia and Herzegovina. ASA Group are planning to open a private greenfield hospital in the capital, Sarajevo, which would be the first private purpose-built general hospital in the country. Through this Project, IFC has assessed and provided recommendations to ASA Group on the bankability and sustainability aspects of the business plan for the planned ASA Hospital project.","","","","","","The Project has a high developmental impact and is in line with IFC's health sector strategy by aiming to increase access to quality, affordable healthcare to the population and with SDG3 which focuses on ensuring health and wellbeing for all, at all ages. The Project will increase access to healthcare services in a country where there are significant gaps in state-provided healthcare and have the potential to offer integrated care to patients across Bosnia and Herzegovina through the sponsor's healthcare polyclinics and healthcare insurance business.","","","","","","","","","","","","","","",606877,"","","Manufacturing, Agribusiness & Services","",2022-02-23T05:00:00Z,2022-02-21T05:00:00Z
Ahli Microfinance Company Iraq Microfinance Market Overview ,Advisory Services,"",Active,Middle East,Iraq,"","",2022-09-19T04:00:00Z,"","","","The objective of this project is to provide strategic support to Ahli Microfinance Company (AMC), one of the leading microfinance players, to explore an opportunity of business growth and expansion.","","","","","","Through this engagement with Ahli Microfinance Company (AMC), IFC seeks to support the company in assessing an opportunity for business growth to enhance financial inclusion.","","","","","","","","","","","","","","",606892,"","",Financial Institutions Group,"",2022-04-06T04:00:00Z,2022-05-01T04:00:00Z
Bina Harbour Fisheries PPP,Advisory Services,"",Active,East Asia and the Pacific,Solomon Islands,"","",2022-09-16T04:00:00Z,"","","","The Government of Solomon Islands has requested the International Finance Corporation to provide advice on the structuring of PPP transaction to facilitate onshore processing of tuna at a plant to be built at Bina Harbour, Malaita.","","","","","",The Project is expected to create employment and other economic opportunities in Malaita Province and ensure sustainable utilization of tuna fishery resources.,"","","","","","","","","","","","","","",606616,"","",Transaction Advisory,"",2021-12-21T05:00:00Z,2022-01-20T05:00:00Z
Ho Chi Minh City Waste Treatment Facilities,Advisory Services,"",Active,East Asia and the Pacific,Vietnam,"","",2022-09-16T04:00:00Z,"","","","IFC will assist HCMC authorities to assess the prefeasibility of developing an advanced integrated waste treatment facility/ waste-to-energy facility at the Northwest Solid Waste Treatment Complex  Ho Chi Minh City, as a Public Private Partnership.","","","","","",The planned assessment will support the decision by HCMC authorities on the viability of the project.,"","","","","","","","","","","","","","",607140,"","",Transaction Advisory,"",2022-06-01T04:00:00Z,2022-05-31T04:00:00Z
